sample_id,system,split,language,mixture_type,noise_type,noise_category,is_impulsive,target_snr,actual_snr,clean_path,noisy_path,enhanced_path,si_snr_noisy,si_snr_enhanced,si_snr_improvement,si_sdr_noisy,si_sdr_enhanced,si_sdr_improvement,stoi_noisy,stoi_enhanced,stoi_improvement,estoi_noisy,estoi_enhanced,estoi_improvement,pesq_noisy,pesq_enhanced,pesq_improvement,dnsmos_sig_noisy,dnsmos_bak_noisy,dnsmos_ovrl_noisy,dnsmos_sig_enhanced,dnsmos_bak_enhanced,dnsmos_ovrl_enhanced,peak_attenuation_db_mean,residual_energy_ratio_mean,iisrt_mean_ms,rsdd_mean_ms
IG_024334,Impulse Guard,test,unknown,normal_noise,stationary,engine_idling,False,10.0,10.0,data/mixtures/test/clean/IG_024334.wav,data/mixtures/test/noisy/IG_024334.wav,data/enhanced/test/IG_024334.wav,9.840838432312012,11.246581077575684,1.4057426452636719,9.840837478637695,11.246580123901367,1.4057426452636719,0.9208682284027492,0.9366921170051012,0.015823888602352065,0.7939350949401243,0.823982431305584,0.030047336365459754,,,,4.007768154144287,4.447198867797852,4.027483940124512,3.8457298278808594,4.79753303527832,4.121631622314453,,,,
IG_024335,Impulse Guard,test,unknown,normal_plus_impulse,musan+impulsive,musan+impulsive,True,15.0,,data/mixtures/test/clean/IG_024335.wav,data/mixtures/test/noisy/IG_024335.wav,data/enhanced/test/IG_024335.wav,-5.0506205558776855,2.85914945602417,7.9097700119018555,-5.050621032714844,2.8591489791870117,7.9097700119018555,0.6951569348784583,0.6955579346737027,0.00040099979524443885,0.592010314472117,0.6083023826379158,0.016292068165798756,,,,3.8155670166015625,4.727701187133789,4.071634292602539,3.8913753032684326,4.794465065002441,4.14292049407959,8.400345802307129,0.10037386417388916,60.0,80.0
IG_024336,Impulse Guard,test,unknown,impulse,impulsive,impulsive,True,10.0,,data/mixtures/test/clean/IG_024336.wav,data/mixtures/test/noisy/IG_024336.wav,data/enhanced/test/IG_024336.wav,-15.508890151977539,-11.0697021484375,4.439188003540039,-15.508890151977539,-11.069700241088867,4.439189910888672,0.38686553088511444,0.32262384187007964,-0.0642416890150348,0.16484459202934162,0.18061345968363968,0.015768867654298052,,,,3.568117141723633,4.799044609069824,3.9835808277130127,3.4011077880859375,4.726724147796631,3.8639161586761475,12.9002685546875,0.007225336506962776,60.0,0.0
IG_024337,Impulse Guard,test,unknown,normal_plus_impulse,musan+impulsive,musan+impulsive,True,20.0,,data/mixtures/test/clean/IG_024337.wav,data/mixtures/test/noisy/IG_024337.wav,data/enhanced/test/IG_024337.wav,-4.956090927124023,6.062597274780273,11.018688201904297,-4.956090927124023,6.062596321105957,11.01868724822998,0.8009450354474008,0.8365268663510302,0.03558183090362943,0.6886681125621652,0.7375398681334157,0.04887175557125045,,,,3.6832633018493652,4.767162799835205,4.025213241577148,3.725470781326294,4.779982566833496,4.052726745605469,8.449350357055664,0.05627253279089928,70.0,70.0
IG_024338,Impulse Guard,test,unknown,normal_plus_impulse,non_stationary+impulsive,siren+impulsive,True,20.0,,data/mixtures/test/clean/IG_024338.wav,data/mixtures/test/noisy/IG_024338.wav,data/enhanced/test/IG_024338.wav,-4.578508377075195,7.398618698120117,11.977127075195312,-4.578508377075195,7.398619174957275,11.97712755203247,0.8490737736782412,0.902101464707373,0.05302769102913174,0.7577472830363046,0.7980528838619765,0.04030560082567192,,,,3.899031639099121,4.761971473693848,4.130501747131348,3.954937219619751,4.782549858093262,4.16874361038208,22.468082427978516,0.005124473478645086,60.0,600.0
IG_024339,Impulse Guard,test,unknown,normal_plus_impulse,drone+impulsive,drone+impulsive,True,0.0,,data/mixtures/test/clean/IG_024339.wav,data/mixtures/test/noisy/IG_024339.wav,data/enhanced/test/IG_024339.wav,-0.20733506977558136,-0.4109387993812561,-0.20360372960567474,-0.20733506977558136,-0.4109387993812561,-0.20360372960567474,0.5752949842050659,0.6208632692837974,0.04556828507873156,0.3966265274047214,0.4506972158564422,0.054070688451720805,,,,2.972672700881958,3.2155327796936035,2.8941028118133545,3.7689576148986816,4.783365249633789,4.0761613845825195,23.44384002685547,0.0031811355147510767,60.0,150.0
IG_024340,Impulse Guard,test,unknown,normal_noise,musan,musan,False,0.0,0.0,data/mixtures/test/clean/IG_024340.wav,data/mixtures/test/noisy/IG_024340.wav,data/enhanced/test/IG_024340.wav,0.0001687732437858358,8.086047172546387,8.0858783993026,0.00016929092817008495,8.086047172546387,8.085877881618217,0.7260059355049612,0.7686641296757726,0.0426581941708114,0.6495279809405965,0.6522510630661488,0.0027230821255522786,,,,3.467419147491455,4.793647766113281,3.9305331707000732,3.6748266220092773,4.799013614654541,4.036920547485352,,,,
IG_024341,Impulse Guard,test,unknown,clean,clean,clean,False,,,data/mixtures/test/clean/IG_024341.wav,data/mixtures/test/noisy/IG_024341.wav,data/enhanced/test/IG_024341.wav,101.15421295166016,12.841636657714844,-88.31257629394531,101.15428924560547,12.841636657714844,-88.31265258789062,0.9999999999999988,0.9967164392964638,-0.003283560703534971,1.0,0.9946127542729722,-0.005387245727027756,,,,3.839953660964966,4.786264419555664,4.113109111785889,3.8072309494018555,4.792256832122803,4.099743843078613,,,,
IG_024342,Impulse Guard,test,unknown,impulse,impulsive,impulsive,True,20.0,,data/mixtures/test/clean/IG_024342.wav,data/mixtures/test/noisy/IG_024342.wav,data/enhanced/test/IG_024342.wav,-9.347211837768555,-2.9488251209259033,6.398386716842651,-9.347211837768555,-2.9488251209259033,6.398386716842651,0.6973664334317703,0.6728710308026782,-0.02449540262909211,0.5128538622543505,0.5171755240629546,0.00432166180860416,,,,3.710465908050537,4.79927396774292,4.054870128631592,3.6394081115722656,4.7892913818359375,4.014349937438965,8.82175350189209,0.02261480502784252,220.0,180.0
IG_024343,Impulse Guard,test,unknown,normal_plus_impulse,non_stationary+impulsive,siren+impulsive,True,15.0,,data/mixtures/test/clean/IG_024343.wav,data/mixtures/test/noisy/IG_024343.wav,data/enhanced/test/IG_024343.wav,3.7746741771698,8.987037658691406,5.2123634815216064,3.7746741771698,8.987038612365723,5.212364435195923,0.8909954539418272,0.9095527267388616,0.01855727279703434,0.7632875598257339,0.8140410704589929,0.05075351063325895,,,,3.5898289680480957,4.405517578125,3.797673225402832,3.60831356048584,4.725872993469238,3.9670932292938232,7.150254726409912,0.08501183986663818,70.0,280.0
